"Nazv","Opisanie","Cena","Rating","Otzyv"
"Планшет BQ 1022L Armor PRO LTE+ (2019)","диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Spreadtrum SC9832Eоперационная система: Android 9.0",7270,4.2,17
"Планшет Alcatel 3T 8 (2020)","диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek MT8766Bоперационная система: Android 10",8080,4.2,1
"Планшет TurboKids Princess (3G, 16 Гб)","диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 1 ГБоперационная система: Android 8.1камеры: основная 2 МП, фронтальная 0.30 МП",4740,4,14
"Планшет Lenovo Tab M10 TB-X306X 32Gb (2020)","диагональ: 10.1"" (1280x800)встроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio P22Tоперационная система: Android 10",11787,4.5,5
"Планшет HUAWEI MediaPad T5 10 16Gb LTE (2018)","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 659операционная система: Android 8.0",11039,4.5,80
"Планшет Samsung Galaxy Tab A 8.0 Wi-Fi Kids Edition (2019)","диагональ: 8"" (1280x800)встроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 429операционная система: Android 9.0",11990,4.6,9
"Планшет Samsung Galaxy Tab S7+ 12.4 SM-T975 128Gb (2020)","диагональ: 12.4"" (2800x1752) Super AMOLEDвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Qualcomm Snapdragon 865+операционная система: Android 10",59450,4.4,35
"Планшет DIGMA Optima Prime 5 3G (2018)","диагональ: 7"" (1024x600) IPSвстроенная память: 8 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Cоперационная система: Android 8.1",3799,4.4,14
"Планшет BQ 7040G Charm Plus","диагональ: 7"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Unisoc SC7731Eоперационная система: Android 9.1",4340,3.9,23
"Планшет TurboPad MonsterPad 2 3G 16GB (2020)","диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Eоперационная система: Android 8.1",4990,3.9,11
"Планшет HUAWEI Mediapad T3 10 16Gb LTE (2017)","диагональ: 9.6"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 425операционная система: Android 7.0",9990,4.5,151
"Планшет HUAWEI MediaPad T5 10 64Gb LTE (2018)","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: HiSilicon Kirin 659операционная система: Android 8.0",21490,4.8,7
"Планшет Prestigio Wize PMT4317 3G (2019)","диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Eоперационная система: Android 8.1",4990,4.4,12
"Планшет Apple iPad Pro 12.9 (2020) 256Gb Wi-Fi","диагональ: 12.9"" (2732x2048) IPSвстроенная память: 256 ГБоперативная память: 6 ГБпроцессор: Apple A12Z Bionicоперационная система: iOS",81939,4.7,16
"Планшет BQ 8068L Hornet Plus Pro (2018)","диагональ: 8"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 2 ГБпроцессор: Spreadtrum SC9832операционная система: Android",5490,4.1,13
"Планшет Lenovo Tab M8 TB-8505F 32Gb (2019)","диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio A22операционная система: Android 9.0",10490,4.7,32
"Планшет Prestigio SmartKids (2019)","диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDоперативная память: 1 ГБпроцессор: RockChip RK3126операционная система: Android 8.1",4015,3.9,55
"Планшет Samsung Galaxy Tab S7 11 SM-T875 128Gb (2020)","диагональ: 11"" (2560x1600) LTPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Qualcomm Snapdragon 865+операционная система: Android 10",47890,4.5,34
"Планшет DIGMA CITI 7587 3G (2019)","диагональ: 7"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek MT8321операционная система: Android 9.0",4965,4.2,21
"Планшет Lenovo TAB M7 TB-7305i 16Gb (2019)","диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: MediaTek MT8321операционная система: Android 9.0",7299,4.3,13
"Планшет Blackview Tab 8E","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDоперативная память: 3 ГБпроцессор: Spreadtrum SC9863Aоперационная система: Android 10",11650,NA,NA
